gender,location,region,npv_scenario_a,npv_scenario_b,npv_scenario_c,placement_effect,mincer_effect,total_effect,placement_share_pct,mincer_share_pct,placement_effect_lakhs,mincer_effect_lakhs,total_effect_lakhs
male,urban,north,319171.7163958708,1340505.4661876382,1598806.3055190602,1021333.7497917674,258300.839331422,1279634.5891231894,79.81448442180586,20.185515578194142,10.213337497917674,2.58300839331422,12.796345891231894
male,urban,south,614917.9401126328,2585912.8958511306,3019215.2321530646,1970994.955738498,433302.336301934,2404297.292040432,81.97800506050534,18.021994939494668,19.709949557384977,4.33302336301934,24.042972920404317
male,urban,west,498409.1184894469,2003532.5392352096,2353167.3890194627,1505123.4207457628,349634.84978425317,1854758.270530016,81.14930364028832,18.850696359711687,15.051234207457627,3.4963484978425314,18.547582705300158
male,urban,east,237172.80104550754,968232.7482648776,1174760.910745081,731059.94721937,206528.16248020343,937588.1096995735,77.97239957038488,22.02760042961511,7.310599472193701,2.0652816248020343,9.375881096995736
male,rural,north,270971.7527831188,921737.7839339885,1118229.9854533465,650766.0311508698,196492.20151935797,847258.2326702278,76.8084635896554,23.191536410344593,6.5076603115086975,1.9649220151935798,8.472582326702277
male,rural,south,484282.3360564973,1740146.6066985268,2059670.584700628,1255864.2706420296,319523.9780021012,1575388.2486441308,79.71776301638013,20.282236983619867,12.558642706420295,3.1952397800210117,15.753882486441308
male,rural,west,398952.98446509475,1357976.6093190087,1619451.2956550855,959023.6248539139,261474.68633607682,1220498.3111899907,78.5763991691936,21.423600830806393,9.590236248539139,2.614746863360768,12.204983111899907
male,rural,east,208729.13015636342,674540.6050854072,833560.7942958067,465811.47492904373,159020.18921039952,624831.6641394433,74.54991506721863,25.450084932781365,4.658114749290437,1.590201892103995,6.248316641394433
female,urban,north,211762.91701744418,1026150.2203331684,1212363.05809203,814387.3033157242,186212.8377588616,1000600.1410745858,81.38988491857697,18.61011508142303,8.143873033157243,1.862128377588616,10.006001410745858
female,urban,south,431729.712803682,2003354.333237537,2321975.6421103063,1571624.6204338549,318621.30887276935,1890245.9293066242,83.143923024363,16.85607697563699,15.71624620433855,3.1862130887276936,18.902459293066244
female,urban,west,345963.01684451115,1546112.726994,1800952.4742228244,1200149.7101494889,254839.74722882453,1454989.4573783134,82.48511383113318,17.514886168866813,12.00149710149489,2.5483974722882454,14.549894573783135
female,urban,east,152745.447877107,735675.307092573,883381.0585755066,582929.8592154661,147705.75148293353,730635.6106983996,79.78393753053665,20.216062469463353,5.829298592154661,1.4770575148293352,7.306356106983996
female,rural,north,181690.5700885585,626787.8678732085,759714.7402869762,445097.29778465,132926.87241376773,578024.1701984177,77.00323286340465,22.996767136595356,4.4509729778465,1.3292687241376773,5.780241701984178
female,rural,south,326166.30303957075,1185126.0005187206,1401672.1534525754,858959.6974791498,216546.15293385484,1075505.8504130046,79.86564621190122,20.134353788098785,8.589596974791498,2.1654615293385486,10.755058504130046
female,rural,west,268475.6325146758,924408.4924078446,1101468.9722584311,655932.8598931688,177060.4798505865,832993.3397437553,78.74407016206712,21.255929837932882,6.559328598931688,1.770604798505865,8.329933397437554
female,rural,east,139686.59166937353,458282.5521889125,565786.0645758966,318595.96051953896,107503.51238698408,426099.47290652303,74.77032495401184,25.22967504598815,3.18595960519539,1.0750351238698408,4.260994729065231
