parameter_name,tier,baseline_value,min_value,max_value,npv_at_min,npv_at_max,delta_npv,pct_swing,npv_elasticity,direction,affects_intervention,intervention,rank
SOCIAL_DISCOUNT_RATE,2,0.05,0.03,0.08,7088007.888708267,3300208.003189708,3787799.8855185593,75.19162623916637,-0.7519162623916636,negative,True,apprenticeship,1
P_FORMAL_APPRENTICE,1,0.68,0.5,0.9,3672531.836803716,6705858.594671091,3033326.757867375,60.21457804854469,1.0236478268252596,positive,True,apprenticeship,2
REAL_WAGE_GROWTH_FORMAL,2,0.015,0.005,0.025,4167231.0326237627,6117719.620408396,1950488.5877846335,38.719154472011766,0.29039365854008825,positive,True,apprenticeship,3
APPRENTICE_DECAY_HALFLIFE,1,12.0,5.0,30.0,4598936.620915384,5509664.740390929,910728.1194755454,18.078866475209548,0.08677855908100583,positive,True,apprenticeship,4
EXPERIENCE_LINEAR,3,0.00885,0.005,0.012,4748535.543781696,5293924.890591361,545389.3468096647,10.826525465856598,0.13687821481832985,positive,True,apprenticeship,5
P_FORMAL_NO_TRAINING,1,0.09,0.05,0.15,5191550.511601428,4806496.427207946,385054.0843934817,7.6437097182116265,-0.06879338746390463,negative,True,apprenticeship,6
REAL_WAGE_GROWTH_INFORMAL,2,-0.002,-0.01,0.005,5182749.728548003,4888986.096025629,293763.6325223744,5.831502699952749,-0.0077753369332703316,negative,True,apprenticeship,7
EXPERIENCE_QUAD,3,-0.000123,-0.0002,-5e-05,4901752.390018402,5174420.348051951,272667.9580335496,5.4127324060174145,0.0443844057293428,positive,True,apprenticeship,8
MINCER_RETURN_HS,2,0.058,0.05,0.09,4990519.902787701,5218220.692291365,227700.78950366378,4.5200890163654055,0.0655412907372984,positive,True,apprenticeship,9
APPRENTICE_INITIAL_PREMIUM,1,78000.0,69000.0,85000.0,4926854.019319725,5123609.323362946,196755.30404322036,3.905790096977623,0.19040726722765913,positive,True,apprenticeship,10
APPRENTICE_STIPEND_MONTHLY,3,7000.0,5000.0,9000.0,5016768.877844037,5058288.877844037,41520.0,0.8242136374167992,0.014423738654793987,positive,True,apprenticeship,11
FORMAL_MULTIPLIER,2,2.25,2.24,2.48,5037528.877844037,5037528.877844037,0.0,0.0,0.0,negative,True,apprenticeship,12
P_FORMAL_SECONDARY,1,0.12,0.08,0.14,5037528.877844037,5037528.877844037,0.0,0.0,0.0,negative,True,apprenticeship,13
